J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yoshida,Hosaka,Roberts,Kim,Mohanta,Valcarce
0.5,0.5,0,3.333333333,grd,0,-1,5903,5958,5934,5946,5939
1.5,1.5,0,3.333333333,grd,0,-1,-1,-1,5952,-1,5961
0.5,0.5,1,3.333333333,lam,1,-1,-1,6192,6164,-1,-1
0.5,1.5,1,3.333333333,lam,1,-1,6240,-1,6183,-1,-1
1.5,0.5,1,3.333333333,lam,1,-1,-1,6194,6195,-1,-1
1.5,1.5,1,3.333333333,lam,1,-1,6170,-1,6227,-1,-1
2.5,1.5,1,3.333333333,lam,1,-1,6180,6204,6238,-1,-1
0.5,0.5,1,3.333333333,rho,1,-1,6110,-1,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,-1,6110,-1,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,-1,-1,5982,6423,-1,-1
2.5,0.5,2,3.333333333,lam,2,-1,-1,6402,6444,-1,-1
0.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6411,-1,-1
1.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6434,-1,-1
2.5,1.5,2,3.333333333,lam,2,-1,-1,-1,6465,-1,-1
3.5,1.5,2,3.333333333,lam,2,-1,-1,6405,6472,-1,-1
0.5,0.5,0,3.333333333,rpl,2,-1,-1,-1,6381,-1,6360
1.5,1.5,0,3.333333333,rpl,2,-1,-1,-1,6392,-1,-1
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1,-1,-1
