J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,QFLu9,Yao-Wang11,ChenLiu56,,
0.5,0.5,0,1.333333333,grd,0,-1,-1,-1,-1,-1
0.5,0.5,1,1.333333333,lam,1,90.9,-1,-1,-1,-1
1.5,0.5,1,1.333333333,lam,1,162.42,-1,-1,-1,-1
0.5,0.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
2.5,1.5,1,1.333333333,rho,1,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,lam,2,107.06,9.08,-1,-1,-1
2.5,0.5,2,1.333333333,lam,2,106.67,9.25,-1,-1,-1
0.5,0.5,0,1.333333333,rpl,2,-1,-1,35.6,-1,-1
0.5,0.5,0,1.333333333,rpr,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,0.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
3.5,1.5,2,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
2.5,1.5,1,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,1.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
0.5,0.5,0,1.333333333,mix,2,-1,-1,-1,-1,-1
1.5,0.5,2,1.333333333,rho,2,-1,-1,-1,-1,-1
2.5,0.5,2,1.333333333,rho,2,-1,-1,-1,-1,-1
