J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n,Yao-Wang11,Wang-Yao44,QFLu51,ChenLiu56
0.5,0.5,0,3.333333333,grd,0,-1,-1,-1,-1
1.5,1.5,0,3.333333333,grd,0,-1,-1,-1,-1
0.5,0.5,1,3.333333333,lam,1,-1,49.38,-1,33.4
0.5,1.5,1,3.333333333,lam,1,-1,94.98,-1,-1
1.5,0.5,1,3.333333333,lam,1,-1,1.82,-1,-1
1.5,1.5,1,3.333333333,lam,1,-1,0.22,-1,2.3
2.5,1.5,1,3.333333333,lam,1,-1,1.6,-1,2.7
0.5,0.5,1,3.333333333,rho,1,-1,-1,-1,-1
1.5,0.5,1,3.333333333,rho,1,-1,-1,-1,-1
1.5,0.5,2,3.333333333,lam,2,20.19,-1,108.3,-1
2.5,0.5,2,3.333333333,lam,2,8.15,-1,20.58,-1
0.5,1.5,2,3.333333333,lam,2,28.71,-1,105.99,-1
1.5,1.5,2,3.333333333,lam,2,20.38,-1,26.8,-1
2.5,1.5,2,3.333333333,lam,2,7.37,-1,2.98,-1
3.5,1.5,2,3.333333333,lam,2,8.62,-1,2.8,-1
0.5,0.5,0,3.333333333,rpl,2,-1,-1,49.67,15.5
1.5,1.5,0,3.333333333,rpl,2,-1,-1,53.32,16.1
0.5,0.5,0,3.333333333,rpr,2,-1,-1,-1,-1
1.5,1.5,0,3.333333333,rpr,2,-1,-1,-1,-1
1.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1
2.5,0.5,2,3.333333333,mix,2,-1,-1,-1,-1
0.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1
1.5,0.5,1,3.333333333,mix,2,-1,-1,-1,-1
0.5,0.5,0,3.333333333,mix,2,-1,-1,-1,-1
1.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1
2.5,0.5,2,3.333333333,rho,2,-1,-1,-1,-1
0.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1
1.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1
2.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1
3.5,1.5,2,3.333333333,rho,2,-1,-1,-1,-1
