Md1,Md2,Md3,Md4,Md5,MB,K,A,B,E,G
1378.4228874206203,1227.3249308584393,1099.296051279226,945.7853019066274,1105.914038924111,4635.5385835781,5207.477487237514,6.709446517384641,5.000008359774806,19.6642947814486,12.569193295625686
1348.6137066758172,1214.8987949511975,1099.999999979713,947.7251409239897,1114.1960222470393,4628.936190494077,4865.0576535722375,8.787872258986564,8.393560148072591,19.99999984540018,19.999999988993785
1361.1507761251028,1206.7140165297828,1086.4287347273796,972.1702216413854,1127.2581205746378,4627.6711411324595,4991.44235241484,9.993656259411756,5.00077451089725,19.999995920748656,18.97747386533356
1211.180446623326,1076.8493671029996,932.7392547512605,800.1724330420369,982.279846325425,4777.358275086694,4742.081739397938,5.807888443306568,5.587014977295498,19.999999534254762,19.999939226013275
1225.6051207611138,1085.2336875805477,910.8017321651253,800.0000001264568,959.9333276294535,4802.32849686907,4769.989336561447,6.999122144470772,5.000000000006908,19.99998920841516,10.000000000110743
1313.8022724375749,1176.3232263769057,1029.5291690658125,900.72625321712,1084.8643829258795,4666.923331466247,4890.702101669491,9.999306196393917,5.08978222537147,19.999616252934384,18.199674103332157
1348.9927606522429,1218.4622732581893,1072.3577721595138,963.750512880933,1108.2974204665463,4642.242155966324,5110.048771952679,8.059959486234192,5.0000646008117515,19.98144856495311,14.023292165823195
1352.6099328898065,1214.2475512845858,1057.8460128440815,941.4773331394871,1095.781027116138,4658.723136200091,4932.378133352556,9.999990901003024,6.94673532568687,19.99964384365713,10.240914014962657
1390.2210066461537,1260.8851379638197,1099.3945335478475,990.0598433515988,1166.4228261389471,4609.903699128295,5293.941832608791,9.999992141538277,5.491730993606426,19.99996938452825,10.028596199586339
1350.3982357845007,1215.5646775348332,1082.5842135098749,960.9262806083849,1130.0886293199494,4632.961353665364,5272.389249304079,6.352464102399385,5.000437968340779,19.99889721387417,14.385148643645612
1356.2319443964323,1220.2764152223162,1092.2218710585764,974.1561511868136,1135.229894919326,4626.514988217303,4940.896757364907,6.001892550808392,5.003648137835676,19.836134512694596,19.370705477679696
1398.671069564847,1241.6408476010336,1099.9999999980835,967.867166575554,1130.829229280665,4625.974463527612,5034.041530379366,9.999999999662384,6.976479604817164,19.99944595584474,10.000014903781626
1207.6982906358223,1055.2204652674454,922.7462291410062,803.520724970831,973.5424334418012,4766.598752009404,5190.370289356812,7.834589906229602,5.484203879137758,19.998943435907716,18.919843367208212
1342.8698629042935,1170.7150449383014,1097.7333122133682,916.001327142289,1119.3784638616428,4674.652704718382,5006.430194393762,6.662541463477038,5.0000003759123555,10.000439929411286,10.057257297787043
1219.6712411083906,1073.3924118412085,953.9079724038503,800.000000006041,975.5064184929486,4793.74434699425,4949.5152255669955,5.537025973480834,5.000000000085642,19.99999997129904,10.000000018691217
1335.5309906317193,1183.7792492219078,1044.7087052452496,908.8212725144019,1073.0446417532223,4697.865233745409,4737.418471149232,9.999998389382387,5.000002903769365,19.99585349282753,10.000017652583564
1339.875078599877,1207.984549718088,1056.8066056343368,934.3263484817285,1106.8592212501974,4671.309157700495,5016.741826450045,9.997496777442139,5.006561614682483,19.713034913378415,10.000032210648019
1369.494986912191,1233.1010324898064,1099.9437532895165,976.4165955832317,1153.5473631869254,4618.267869648886,5062.004615311792,8.862243667417546,9.857191230599387,16.68604837296777,16.51282281275547
1313.1040020483238,1176.2731305609261,1035.4036618099535,895.4597506359554,1089.8343739557795,4667.535493200817,5197.869944654307,5.097765043365654,5.000318639190654,19.988437596033712,17.362735032887425
1360.400432168667,1231.5939924383972,1099.9351468093255,951.728724805477,1117.391483350298,4637.7919482607085,5012.832736337246,9.999900405211125,6.409848245068892,19.99985045382735,10.57690450863601
1378.0644929851494,1217.4867848783917,1099.9999692779838,938.2914450492088,1105.8757595262466,4646.4063932649005,4884.6123296842525,7.863957608203896,5.000000066876617,19.897193960974363,10.123611795923468
1233.668873329525,1068.2003423208334,913.901043552661,800.0059160221413,983.3612078801294,4781.290448162049,4699.294778596642,5.027712784463691,9.995291160150503,19.953540646517844,19.87773218135731
1332.6595267308169,1229.949196614271,1089.6041460140334,948.1476335189916,1112.2600285295116,4637.230821165583,5621.57587016689,9.972497964640638,5.00000112635099,12.988116605688163,10.049710276930158
