decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,decay_14,dec_up_14,dec_dn_14,decay_15,dec_up_15,dec_dn_15,decay_16,dec_up_16,dec_dn_16,decay_17,dec_up_17,dec_dn_17,decay_18,dec_up_18,dec_dn_18,decay_19,dec_up_19,dec_dn_19,decay_20,dec_up_20,dec_dn_20,decay_21,dec_up_21,dec_dn_21,decay_22,dec_up_22,dec_dn_22,decay_23,dec_up_23,dec_dn_23,decay_24,dec_up_24,dec_dn_24,decay_25,dec_up_25,dec_dn_25,decay_26,dec_up_26,dec_dn_26,decay_27,dec_up_27,dec_dn_27,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,3.3333333333333335,grd,0
0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,1.5,1.5,0,3.3333333333333335,grd,0
1.2,1.2,0.8,0.6,0.6,0.4,1.4,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.9,1.3,0.5,0.5,1,3.3333333333333335,lam,1
1.8,2.0,1.3,0.8,0.9,0.6,0.7,0.7,0.5,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.5,1.6,0.5,1.5,1,3.3333333333333335,lam,1
10.2,10.1,7.2,11.6,11.5,8.2,8.6,8.6,6.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,17.6,12.6,1.5,0.5,1,3.3333333333333335,lam,1
2.2,2.2,1.5,2.5,2.4,1.7,0.5,0.5,0.3,2.8,4.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,5.2,3.6,1.5,1.5,1,3.3333333333333335,lam,1
13.6,12.8,9.6,15.3,14.4,10.7,3.2,3.0,2.2,0.9,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,19.5,14.5,2.5,1.5,1,3.3333333333333335,lam,1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.4,46.5,45.5,32.5,7.5,7.3,5.2,149.5,150.5,105.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.1,157.4,110.8,0.5,0.5,1,3.3333333333333335,rho,1
0.0,0.0,0.0,0.0,0.0,0.0,23.4,22.3,16.4,6.3,6.1,4.4,51.6,49.9,36.3,18.7,19.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,58.2,42.2,1.5,0.5,1,3.3333333333333335,rho,1
0.8,0.8,0.6,1.0,1.0,0.7,0.9,0.8,0.6,0.7,0.7,0.5,1.7,1.7,1.2,2.5,2.5,1.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.8,1.2,0.0,0.0,0.0,5.1,8.8,4.7,0.0,0.0,0.0,14.2,9.6,5.4,1.5,0.5,2,3.3333333333333335,lam,2
2.3,2.2,1.6,2.6,2.6,1.8,2.1,2.1,1.4,0.1,0.1,0.1,3.8,3.9,2.6,0.4,0.4,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,4.2,2.7,0.0,0.0,0.0,16.5,25.7,14.1,0.0,0.0,0.0,31.7,26.7,14.9,2.5,0.5,2,3.3333333333333335,lam,2
