mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5806,9,-9,5794.45,1.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
6079,9,-9,0,0,0.2,0.2,-0.2,0.5,0.5,1,1.3333333333333333,lam,1
6085,9,-9,6100.0,1.0,1.1,0.7,-0.7,1.5,0.5,1,1.3333333333333333,lam,1
6249,11,-11,0,0,9.0,3.9,-4.0,0.5,0.5,1,1.3333333333333333,rho,1
6271,16,-15,0,0,6.4,2.7,-2.8,0.5,1.5,1,1.3333333333333333,rho,1
6255,11,-11,0,0,68.0,29.0,-29.1,1.5,0.5,1,1.3333333333333333,rho,1
6277,13,-13,0,0,27.3,11.8,-11.8,1.5,1.5,1,1.3333333333333333,rho,1
6288,15,-15,0,0,71.8,30.9,-31.5,2.5,1.5,1,1.3333333333333333,rho,1
6354,13,-13,6327.0,1.0,1.9,1.0,-1.0,1.5,0.5,2,1.3333333333333333,lam,2
6365,13,-13,6333.0,1.0,1.6,0.7,-0.8,2.5,0.5,2,1.3333333333333333,lam,2
6361,12,-12,0,0,0.2,0.1,-0.1,0.5,0.5,0,1.3333333333333333,rpl,2
6700,19,-19,0,0,6.1,2.6,-2.7,0.5,0.5,0,1.3333333333333333,rpr,2
6524,16,-16,0,0,47.8,20.7,-20.8,1.5,0.5,2,1.3333333333333333,mix,2
6534,16,-16,0,0,111.2,48.1,-47.6,2.5,0.5,2,1.3333333333333333,mix,2
6541,23,-22,0,0,21.4,9.5,-9.4,0.5,1.5,2,1.3333333333333333,mix,2
6547,20,-19,0,0,69.6,31.3,-31.2,1.5,1.5,2,1.3333333333333333,mix,2
6557,17,-17,0,0,104.1,46.1,-46.0,2.5,1.5,2,1.3333333333333333,mix,2
6571,22,-22,0,0,119.7,52.1,-53.0,3.5,1.5,2,1.3333333333333333,mix,2
6526,15,-15,0,0,0.3,0.2,-0.1,0.5,0.5,1,1.3333333333333333,mix,2
6532,16,-16,0,0,2.1,0.9,-0.9,1.5,0.5,1,1.3333333333333333,mix,2
6549,19,-18,0,0,0.2,0.1,-0.1,0.5,1.5,1,1.3333333333333333,mix,2
6555,17,-17,0,0,1.0,0.4,-0.4,1.5,1.5,1,1.3333333333333333,mix,2
6565,19,-19,0,0,2.6,1.2,-1.2,2.5,1.5,1,1.3333333333333333,mix,2
6559,17,-17,0,0,34.4,14.7,-14.7,1.5,1.5,0,1.3333333333333333,mix,2
6530,15,-16,0,0,32.3,13.8,-13.9,0.5,0.5,0,1.3333333333333333,mix,2
6694,19,-19,0,0,133.2,57.6,-57.8,1.5,0.5,2,1.3333333333333333,rho,2
6704,20,-20,0,0,102.2,44.8,-45.0,2.5,0.5,2,1.3333333333333333,rho,2
