mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5925,6,-6,5935.02,1.0,0.0,-0.0,-0.0,0.5,0.5,0,3.3333333333333335,grd,0
5953,7,-7,5953.82,1.0,0.2,0.1,-0.1,1.5,1.5,0,3.3333333333333335,grd,0
6198,7,-7,0,0,3.1,1.3,-1.4,0.5,0.5,1,3.3333333333333335,lam,1
6221,10,-10,0,0,3.8,1.6,-1.6,0.5,1.5,1,3.3333333333333335,lam,1
6204,7,-7,0,0,30.4,13.0,-12.9,1.5,0.5,1,3.3333333333333335,lam,1
6227,7,-7,0,0,7.9,3.7,-3.6,1.5,1.5,1,3.3333333333333335,lam,1
6237,10,-10,6227.85,1.0,32.9,14.4,-14.3,2.5,1.5,1,3.3333333333333335,lam,1
6368,9,-9,0,0,204.1,88.8,-88.8,0.5,0.5,1,3.3333333333333335,rho,1
6374,10,-10,0,0,100.0,42.2,-42.4,1.5,0.5,1,3.3333333333333335,rho,1
6473,11,-12,0,0,14.2,6.7,-6.8,1.5,0.5,2,3.3333333333333335,lam,2
6483,13,-13,0,0,31.7,15.8,-15.7,2.5,0.5,2,3.3333333333333335,lam,2
6490,18,-18,0,0,25.8,13.3,-13.5,0.5,1.5,2,3.3333333333333335,lam,2
6496,14,-14,0,0,36.9,17.6,-17.5,1.5,1.5,2,3.3333333333333335,lam,2
6506,11,-11,0,0,47.9,21.2,-20.9,2.5,1.5,2,3.3333333333333335,lam,2
6520,18,-18,0,0,48.7,22.5,-22.8,3.5,1.5,2,3.3333333333333335,lam,2
6479,11,-11,0,0,1.6,0.8,-0.8,0.5,0.5,0,3.3333333333333335,rpl,2
6508,11,-12,0,0,2.7,1.2,-1.2,1.5,1.5,0,3.3333333333333335,rpl,2
6819,19,-19,0,0,20.1,9.0,-9.0,0.5,0.5,0,3.3333333333333335,rpr,2
6847,19,-19,0,0,21.4,9.3,-9.5,1.5,1.5,0,3.3333333333333335,rpr,2
6643,15,-15,0,0,243.0,105.2,-103.4,1.5,0.5,2,3.3333333333333335,mix,2
6653,16,-16,0,0,121.1,52.7,-52.9,2.5,0.5,2,3.3333333333333335,mix,2
6645,15,-15,0,0,2.7,1.2,-1.2,0.5,0.5,1,3.3333333333333335,mix,2
6651,16,-15,0,0,3.2,1.4,-1.4,1.5,0.5,1,3.3333333333333335,mix,2
6649,15,-15,0,0,61.4,26.5,-26.8,0.5,0.5,0,3.3333333333333335,mix,2
6813,18,-18,0,0,327.7,145.8,-145.3,1.5,0.5,2,3.3333333333333335,rho,2
6823,20,-20,0,0,215.9,95.4,-94.6,2.5,0.5,2,3.3333333333333335,rho,2
6829,22,-22,0,0,552.6,251.2,-252.6,0.5,1.5,2,3.3333333333333335,rho,2
6835,19,-20,0,0,379.3,169.3,-165.2,1.5,1.5,2,3.3333333333333335,rho,2
6845,18,-18,0,0,200.1,85.6,-85.7,2.5,1.5,2,3.3333333333333335,rho,2
6859,24,-24,0,0,362.3,165.7,-164.4,3.5,1.5,2,3.3333333333333335,rho,2
