mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5927,13,-13,5935.02,1.0,0,0,0,0.5,0.5,0,3.3333333333333335,grd,0
5951,12,-13,5953.82,1.0,0,0,0,1.5,1.5,0,3.3333333333333335,grd,0
6199,14,-14,0,0,0,0,0,0.5,0.5,1,3.3333333333333335,lam,1
6214,14,-14,0,0,0,0,0,0.5,1.5,1,3.3333333333333335,lam,1
6209,14,-13,0,0,0,0,0,1.5,0.5,1,3.3333333333333335,lam,1
6223,13,-13,0,0,0,0,0,1.5,1.5,1,3.3333333333333335,lam,1
6239,13,-13,6227.85,1.0,0,0,0,2.5,1.5,1,3.3333333333333335,lam,1
6475,21,-20,0,0,0,0,0,1.5,0.5,2,3.3333333333333335,lam,2
6490,21,-19,0,0,0,0,0,2.5,0.5,2,3.3333333333333335,lam,2
6480,22,-22,0,0,0,0,0,0.5,1.5,2,3.3333333333333335,lam,2
6489,22,-21,0,0,0,0,0,1.5,1.5,2,3.3333333333333335,lam,2
6505,21,-20,0,0,0,0,0,2.5,1.5,2,3.3333333333333335,lam,2
6526,21,-21,0,0,0,0,0,3.5,1.5,2,3.3333333333333335,lam,2
6484,22,-20,0,0,0,0,0,0.5,0.5,0,3.3333333333333335,rpl,2
6508,21,-20,0,0,0,0,0,1.5,1.5,0,3.3333333333333335,rpl,2
