mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
6059,13,-13,6045.2,1.0,0,0,0,0.5,0.5,0,3.3333333333333335,grd,0
6082,14,-14,0,0,0,0,0,1.5,1.5,0,3.3333333333333335,grd,0
6318,9,-10,6315.6,1.0,0,0,0,0.5,0.5,1,3.3333333333333335,lam,1
6333,11,-11,6339.7,1.0,0,0,0,0.5,1.5,1,3.3333333333333335,lam,1
6328,10,-10,6330.3,1.0,0,0,0,1.5,0.5,1,3.3333333333333335,lam,1
6342,10,-10,6349.8,1.0,0,0,0,1.5,1.5,1,3.3333333333333335,lam,1
6357,11,-11,0,0,0,0,0,2.5,1.5,1,3.3333333333333335,lam,1
6581,16,-16,0,0,0,0,0,1.5,0.5,2,3.3333333333333335,lam,2
6597,17,-17,0,0,0,0,0,2.5,0.5,2,3.3333333333333335,lam,2
6586,17,-17,0,0,0,0,0,0.5,1.5,2,3.3333333333333335,lam,2
6595,16,-17,0,0,0,0,0,1.5,1.5,2,3.3333333333333335,lam,2
6611,16,-17,0,0,0,0,0,2.5,1.5,2,3.3333333333333335,lam,2
6632,19,-19,0,0,0,0,0,3.5,1.5,2,3.3333333333333335,lam,2
6590,16,-16,0,0,0,0,0,0.5,0.5,0,3.3333333333333335,rpl,2
6614,16,-17,0,0,0,0,0,1.5,1.5,0,3.3333333333333335,rpl,2
