mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5614,9,-9,5619.6,1.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
5918,8,-8,5912.2,1.0,0.0,-0.0,-0.0,0.5,0.5,1,1.3333333333333333,lam,1
5924,8,-8,5920.1,1.0,0.0,-0.0,-0.0,1.5,0.5,1,1.3333333333333333,lam,1
6114,10,-10,0,0,68.5,29.6,-29.3,0.5,0.5,1,1.3333333333333333,rho,1
6137,14,-14,0,0,36.5,15.5,-15.9,0.5,1.5,1,1.3333333333333333,rho,1
6120,10,-10,0,0,87.4,37.3,-37.8,1.5,0.5,1,1.3333333333333333,rho,1
6143,12,-12,0,0,131.4,56.8,-56.9,1.5,1.5,1,1.3333333333333333,rho,1
6153,14,-14,0,0,77.5,33.8,-33.5,2.5,1.5,1,1.3333333333333333,rho,1
6225,12,-12,6146.2,1.0,13.3,6.8,-6.9,1.5,0.5,2,1.3333333333333333,lam,2
6235,13,-13,6152.5,1.0,17.8,13.3,-13.2,2.5,0.5,2,1.3333333333333333,lam,2
6231,12,-12,0,0,1.1,0.7,-0.6,0.5,0.5,0,1.3333333333333333,rpl,2
6623,20,-20,0,0,4.4,2.0,-2.0,0.5,0.5,0,1.3333333333333333,rpr,2
6421,16,-16,0,0,69.1,30.2,-30.5,1.5,0.5,2,1.3333333333333333,mix,2
6431,17,-17,0,0,112.0,49.8,-49.2,2.5,0.5,2,1.3333333333333333,mix,2
6438,21,-22,0,0,36.1,15.9,-15.8,0.5,1.5,2,1.3333333333333333,mix,2
6444,19,-19,0,0,98.0,43.9,-42.8,1.5,1.5,2,1.3333333333333333,mix,2
6454,17,-17,0,0,131.6,58.1,-58.2,2.5,1.5,2,1.3333333333333333,mix,2
6467,22,-22,0,0,125.4,56.5,-56.6,3.5,1.5,2,1.3333333333333333,mix,2
6423,16,-16,0,0,0.6,0.2,-0.2,0.5,0.5,1,1.3333333333333333,mix,2
6429,16,-16,0,0,1.7,0.8,-0.8,1.5,0.5,1,1.3333333333333333,mix,2
6446,18,-18,0,0,0.3,0.1,-0.1,0.5,1.5,1,1.3333333333333333,mix,2
6452,17,-17,0,0,1.2,0.6,-0.6,1.5,1.5,1,1.3333333333333333,mix,2
6462,19,-19,0,0,2.4,1.1,-1.1,2.5,1.5,1,1.3333333333333333,mix,2
6456,17,-17,0,0,32.9,14.3,-14.3,1.5,1.5,0,1.3333333333333333,mix,2
6427,16,-16,0,0,30.5,13.4,-13.1,0.5,0.5,0,1.3333333333333333,mix,2
6617,20,-20,0,0,136.4,58.7,-59.7,1.5,0.5,2,1.3333333333333333,rho,2
6627,21,-21,0,0,190.7,82.5,-82.9,2.5,0.5,2,1.3333333333333333,rho,2
