mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
6064,8,-8,6045.2,1.0,0.0,0.0,0.0,0.5,0.5,0,3.3333333333333335,grd,0
6092,9,-8,0,0,0.0,0.0,0.0,1.5,1.5,0,3.3333333333333335,grd,0
6315,7,-7,6315.6,1.0,4.8,2.1,-2.1,0.5,0.5,1,3.3333333333333335,lam,1
6337,10,-10,6339.7,1.0,11.1,4.8,-4.8,0.5,1.5,1,3.3333333333333335,lam,1
6321,8,-8,6330.3,1.0,24.9,11.2,-11.2,1.5,0.5,1,3.3333333333333335,lam,1
6343,7,-7,6349.8,1.0,6.5,2.8,-2.8,1.5,1.5,1,3.3333333333333335,lam,1
6353,10,-11,0,0,42.1,18.3,-18.3,2.5,1.5,1,3.3333333333333335,lam,1
6465,8,-8,0,0,10.1,4.4,-4.4,0.5,0.5,1,3.3333333333333335,rho,1
6471,9,-9,0,0,55.1,24.1,-24.3,1.5,0.5,1,3.3333333333333335,rho,1
6567,10,-10,0,0,4.2,1.8,-1.8,1.5,0.5,2,3.3333333333333335,lam,2
6578,12,-12,0,0,10.1,4.4,-4.4,2.5,0.5,2,3.3333333333333335,lam,2
6584,17,-17,0,0,1.4,0.4,-0.8,0.5,1.5,2,3.3333333333333335,lam,2
6590,13,-13,0,0,3.8,1.7,-1.8,1.5,1.5,2,3.3333333333333335,lam,2
6600,10,-10,0,0,8.0,3.7,-3.7,2.5,1.5,2,3.3333333333333335,lam,2
6614,18,-18,0,0,17.8,11.1,-10.5,3.5,1.5,2,3.3333333333333335,lam,2
6574,10,-10,0,0,0.7,0.3,-0.3,0.5,0.5,0,3.3333333333333335,rpl,2
6602,10,-10,0,0,0.6,0.3,-0.3,1.5,1.5,0,3.3333333333333335,rpl,2
6874,17,-17,0,0,13.5,6.3,-6.4,0.5,0.5,0,3.3333333333333335,rpr,2
6902,16,-16,0,0,8.7,3.6,-3.7,1.5,1.5,0,3.3333333333333335,rpr,2
6717,13,-13,0,0,120.6,57.6,-57.7,1.5,0.5,2,3.3333333333333335,mix,2
6728,15,-15,0,0,84.6,37.3,-37.3,2.5,0.5,2,3.3333333333333335,mix,2
6720,13,-13,0,0,1.1,0.5,-0.5,0.5,0.5,1,3.3333333333333335,mix,2
6726,14,-14,0,0,2.1,1.0,-1.0,1.5,0.5,1,3.3333333333333335,mix,2
6724,13,-13,0,0,74.6,33.5,-33.7,0.5,0.5,0,3.3333333333333335,mix,2
6868,16,-16,0,0,186.3,86.3,-86.8,1.5,0.5,2,3.3333333333333335,rho,2
6878,18,-18,0,0,162.1,70.0,-69.7,2.5,0.5,2,3.3333333333333335,rho,2
6884,20,-20,0,0,130.4,57.3,-57.2,0.5,1.5,2,3.3333333333333335,rho,2
6890,17,-17,0,0,201.0,85.6,-85.4,1.5,1.5,2,3.3333333333333335,rho,2
6900,16,-16,0,0,178.1,76.1,-76.3,2.5,1.5,2,3.3333333333333335,rho,2
6915,22,-22,0,0,239.0,103.5,-105.7,3.5,1.5,2,3.3333333333333335,rho,2
