mass,error_up,error_dn,exp_mass,exp_mass_err,decay,decay_up,decay_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
5804,8,-8,5813.1,1.0,4.0,2.1,-2.1,0.5,0.5,0,3.3333333333333335,grd,0
5832,8,-8,5837.03,1.0,10.4,5.0,-5.0,1.5,1.5,0,3.3333333333333335,grd,0
6108,10,-10,6096.9,1.0,24.4,10.5,-10.4,0.5,0.5,1,3.3333333333333335,lam,1
6131,12,-12,0,0,13.7,5.9,-5.9,0.5,1.5,1,3.3333333333333335,lam,1
6114,10,-10,0,0,87.2,37.5,-37.5,1.5,0.5,1,3.3333333333333335,lam,1
6137,10,-10,0,0,59.3,25.7,-25.6,1.5,1.5,1,3.3333333333333335,lam,1
6147,12,-12,0,0,99.0,42.2,-41.6,2.5,1.5,1,3.3333333333333335,lam,1
6305,13,-13,0,0,139.4,59.8,-60.2,0.5,0.5,1,3.3333333333333335,rho,1
6311,13,-13,0,0,133.9,58.4,-57.7,1.5,0.5,1,3.3333333333333335,rho,1
6415,15,-15,0,0,59.9,26.2,-26.3,1.5,0.5,2,3.3333333333333335,lam,2
6425,16,-16,0,0,134.5,58.4,-58.4,2.5,0.5,2,3.3333333333333335,lam,2
6431,21,-21,0,0,80.6,34.9,-35.1,0.5,1.5,2,3.3333333333333335,lam,2
6438,17,-17,0,0,110.6,48.9,-48.0,1.5,1.5,2,3.3333333333333335,lam,2
6448,15,-15,0,0,137.6,59.2,-58.7,2.5,1.5,2,3.3333333333333335,lam,2
6462,20,-21,0,0,149.7,66.0,-66.2,3.5,1.5,2,3.3333333333333335,lam,2
6421,15,-15,0,0,4.0,1.8,-1.8,0.5,0.5,0,3.3333333333333335,rpl,2
6450,15,-15,0,0,4.1,1.8,-1.8,1.5,1.5,0,3.3333333333333335,rpl,2
6814,24,-24,0,0,24.2,10.4,-10.3,0.5,0.5,0,3.3333333333333335,rpr,2
6842,24,-24,0,0,32.9,14.2,-14.2,1.5,1.5,0,3.3333333333333335,rpr,2
6611,19,-19,0,0,393.8,170.7,-171.3,1.5,0.5,2,3.3333333333333335,mix,2
6621,20,-20,0,0,260.8,117.0,-116.5,2.5,0.5,2,3.3333333333333335,mix,2
6613,19,-19,0,0,4.6,2.0,-2.1,0.5,0.5,1,3.3333333333333335,mix,2
6619,20,-20,0,0,4.9,2.2,-2.2,1.5,0.5,1,3.3333333333333335,mix,2
6617,20,-19,0,0,59.4,26.3,-26.5,0.5,0.5,0,3.3333333333333335,mix,2
6808,24,-23,0,0,576.7,243.3,-247.8,1.5,0.5,2,3.3333333333333335,rho,2
6818,25,-25,0,0,636.3,277.7,-282.1,2.5,0.5,2,3.3333333333333335,rho,2
6824,26,-26,0,0,1385.1,597.2,-594.0,0.5,1.5,2,3.3333333333333335,rho,2
6830,25,-24,0,0,764.3,319.0,-329.2,1.5,1.5,2,3.3333333333333335,rho,2
6840,24,-23,0,0,391.1,171.3,-168.9,2.5,1.5,2,3.3333333333333335,rho,2
6855,28,-28,0,0,1227.0,560.1,-555.8,3.5,1.5,2,3.3333333333333335,rho,2
